ccdc_id,Calc. Density,Cell Volume,CHIRAL SMILES,Space Gp. Number
NPMALA,1.457,613.441,COC([C@@H](NC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-])C)=O,4
NPMPRD,1.318,731.652,OC[C@@H](N1C(C)=CC=C1C)[C@H](O)c2ccc(N(=O)=O)cc2,4
NPNFPR,1.523,628.6,O=C(c1ccc(cc1)N(=O)=O)/C=C/C1=CC=C(O1)N(=O)=O,2
NPOXBZ10,1.243,1985.402,CCCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)N(=O)=O,14
NPOXBZ11,1.285,1919.217,CCCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(cc1)N(=O)=O,14
NPXMBZ10,1.3,1610.782,COC(=O)c1ccc(Oc2c(C)cc(C)cc2C)c(c1)N(=O)=O,14
NPXODC,1.341,1374.081,O=N(=O)c1ccc(cc1)O[C@H]1CC[C@H]2[C@H](O1)CCCC2,14
NPYRAM,1.532,629.302,O=N(=O)c1cccnc1NCNc1ncccc1N(=O)=O,2
NSPIBP,1.297,1968.264,O=N(c1c(O[C@]2(N(c3ccccc3C2(C)C)c4ccccc4)C=C5)c5ccc1)=O,14
NSTYRO,1.428,768.079,O=N(=O)c1ccc(cc1)[C@H]1OC1,14
NSTYRO01,1.432,766.224,O=N(=O)c1ccc(cc1)[C@@H]1OC1,14
NTBYPY,1.46,1179.479,O=N(=O)c1ccc(Cc2ccncc2)c(c1)N(=O)=O,14
NTBZAM01,1.589,694.432,NC(=O)c1ccc(cc1)N(=O)=O,14
NTBZAM10,1.541,715.868,NC(=O)c1ccc(cc1)N(=O)=O,14
NTBZAM11,1.543,715.176,NC(=O)c1ccc(cc1)N(=O)=O,14
NTMCPO,1.192,953.859,C[C@@H]1CC(C(=O)[C@H]1N(=O)=O)(C)C,19
NTPYRO,1.551,600.152,O=N(c1cc[n+]([O-])cc1)=O,62
NTPYRO03,1.637,568.518,O=N(c1cc[n+]([O-])cc1)=O,62
NTPYRO11,1.564,594.837,O=N(c1cc[n+]([O-])cc1)=O,62
NTPYRO12,1.637,568.518,O=N(c1cc[n+]([O-])cc1)=O,62
NTRACD,1.689,413.123,OC(=O)CN(=O)=O,14
NTRANT,1.389,1067.772,O=N(=O)c1c2ccccc2cc2ccccc12,14
NTRANT01,1.44,1029.372,O=N(=O)c1c2ccccc2cc2ccccc12,14
NTROMA,1.401,289.33,CN(=O)=O,19
NTRPLA,1.444,3039.596,CC1=CC(=C(Oc2c(cccc2N(=O)=O)N(=O)=O)C(=O)C(=C1)C)C,61
NUBDOD,1.455,287.781,CC(=O)Nc1cccc(COC(C)=O)c1N(=O)=O,1
NUBDUJ,1.453,1153.04,CC(=O)Nc1ccc(c(COC(C)=O)c1)N(=O)=O,14
NUBHOK,1.517,1248.855,O=C(COC(=O)c1ccccc1)c1ccc(cc1)N(=O)=O,14
NUBKEA,1.464,1344.572,O[C@@H](c1ccc2c(c1O)nccc2)c1cccc(c1)N(=O)=O,4
